1l_rouge1,1l_rouge2,1l_rougeL,1r_rouge1,1r_rouge2,1r_rougeL,2l_rouge1,2l_rouge2,2l_rougeL,2r_rouge1,2r_rouge2,2r_rougeL,c_rouge1,c_rouge2,c_rougeL,cr_rouge1,cr_rouge2,cr_rougeL,ml_rouge1,ml_rouge2,ml_rougeL,mr_rouge1,mr_rouge2,mr_rougeL,mc_rouge1,mc_rouge2,mc_rougeL
0.052631578947368425,0.0,0.052631578947368425,0.049999999999999996,0.0,0.049999999999999996,0.18181818181818182,0.0,0.09090909090909091,0.16666666666666666,0.0,0.16666666666666666,0.12903225806451615,0.0,0.0967741935483871,0.12903225806451615,0.0,0.06451612903225808,0.18181818181818182,0.0,0.09090909090909091,0.16666666666666666,0.0,0.16666666666666666,0.12903225806451615,0.0,0.0967741935483871
0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.18181818181818182,0.18181818181818182,0.0,0.18181818181818182,0.09523809523809523,0.0,0.09523809523809523,0.09523809523809523,0.0,0.09523809523809523,0.18181818181818182,0.0,0.18181818181818182,0.18181818181818182,0.0,0.18181818181818182,0.09523809523809523,0.0,0.09523809523809523
0.11428571428571428,0.0,0.11428571428571428,0.05405405405405405,0.0,0.05405405405405405,0.1818181818181818,0.06451612903225808,0.1818181818181818,0.17142857142857143,0.0,0.17142857142857143,0.17142857142857143,0.029411764705882353,0.14285714285714285,0.17142857142857143,0.029411764705882353,0.11428571428571428,0.1818181818181818,0.06451612903225808,0.1818181818181818,0.17142857142857143,0.0,0.17142857142857143,0.17142857142857143,0.029411764705882353,0.14285714285714285
0.125,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307691,0.0,0.07692307692307691,0.07692307692307691,0.0,0.07692307692307691,0.125,0.0,0.125,0.0,0.0,0.0,0.07692307692307691,0.0,0.07692307692307691
0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.1,0.2,0.0,0.2,0.0,0.0,0.0,0.1,0.0,0.1
0.125,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307691,0.0,0.07692307692307691,0.07692307692307691,0.0,0.07692307692307691,0.125,0.0,0.125,0.0,0.0,0.0,0.07692307692307691,0.0,0.07692307692307691
0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.1,0.2,0.0,0.2,0.0,0.0,0.0,0.1,0.0,0.1
0.14814814814814814,0.0,0.14814814814814814,0.14285714285714285,0.0,0.14285714285714285,0.07692307692307691,0.0,0.07692307692307691,0.07407407407407407,0.0,0.07407407407407407,0.11111111111111113,0.0,0.11111111111111113,0.11111111111111113,0.0,0.11111111111111113,0.14814814814814814,0.0,0.14814814814814814,0.14285714285714285,0.0,0.14285714285714285,0.11111111111111113,0.0,0.11111111111111113
0.24000000000000002,0.0,0.24000000000000002,0.23529411764705882,0.0,0.23529411764705882,0.06521739130434781,0.0,0.06521739130434781,0.04761904761904761,0.0,0.04761904761904761,0.12844036697247704,0.018691588785046724,0.09174311926605504,0.12844036697247704,0.0,0.09174311926605504,0.24000000000000002,0.0,0.24000000000000002,0.23529411764705882,0.0,0.23529411764705882,0.12844036697247704,0.018691588785046724,0.09174311926605504
0.1951219512195122,0.0,0.0975609756097561,0.18181818181818182,0.0,0.12121212121212122,0.06521739130434781,0.0,0.06521739130434781,0.04761904761904761,0.0,0.04761904761904761,0.12799999999999997,0.0,0.08,0.12799999999999997,0.0,0.08,0.1951219512195122,0.0,0.0975609756097561,0.18181818181818182,0.0,0.12121212121212122,0.12799999999999997,0.0,0.08
0.21428571428571427,0.0,0.07142857142857144,0.1,0.0,0.1,0.08695652173913045,0.0,0.08695652173913045,0.13333333333333333,0.0,0.13333333333333333,0.18604651162790697,0.0,0.13953488372093023,0.18604651162790697,0.0,0.09302325581395349,0.21428571428571427,0.0,0.08695652173913045,0.13333333333333333,0.0,0.13333333333333333,0.18604651162790697,0.0,0.13953488372093023
0.08695652173913045,0.0,0.08695652173913045,0.13333333333333333,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.05128205128205128,0.0,0.05128205128205128,0.05128205128205128,0.0,0.05128205128205128,0.08695652173913045,0.0,0.08695652173913045,0.13333333333333333,0.0,0.13333333333333333,0.05128205128205128,0.0,0.05128205128205128
0.24000000000000002,0.0,0.24000000000000002,0.23529411764705882,0.0,0.23529411764705882,0.06521739130434781,0.0,0.06521739130434781,0.04761904761904761,0.0,0.04761904761904761,0.12844036697247704,0.018691588785046724,0.09174311926605504,0.12844036697247704,0.0,0.09174311926605504,0.24000000000000002,0.0,0.24000000000000002,0.23529411764705882,0.0,0.23529411764705882,0.12844036697247704,0.018691588785046724,0.09174311926605504
0.1951219512195122,0.0,0.0975609756097561,0.18181818181818182,0.0,0.12121212121212122,0.06521739130434781,0.0,0.06521739130434781,0.04761904761904761,0.0,0.04761904761904761,0.12799999999999997,0.0,0.08,0.12799999999999997,0.0,0.08,0.1951219512195122,0.0,0.0975609756097561,0.18181818181818182,0.0,0.12121212121212122,0.12799999999999997,0.0,0.08
0.21428571428571427,0.0,0.07142857142857144,0.1,0.0,0.1,0.08695652173913045,0.0,0.08695652173913045,0.13333333333333333,0.0,0.13333333333333333,0.18604651162790697,0.0,0.13953488372093023,0.18604651162790697,0.0,0.09302325581395349,0.21428571428571427,0.0,0.08695652173913045,0.13333333333333333,0.0,0.13333333333333333,0.18604651162790697,0.0,0.13953488372093023
0.08695652173913045,0.0,0.08695652173913045,0.13333333333333333,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.05128205128205128,0.0,0.05128205128205128,0.05128205128205128,0.0,0.05128205128205128,0.08695652173913045,0.0,0.08695652173913045,0.13333333333333333,0.0,0.13333333333333333,0.05128205128205128,0.0,0.05128205128205128
0.24000000000000002,0.0,0.24000000000000002,0.23529411764705882,0.0,0.23529411764705882,0.06521739130434781,0.0,0.06521739130434781,0.04761904761904761,0.0,0.04761904761904761,0.12844036697247704,0.018691588785046724,0.09174311926605504,0.12844036697247704,0.0,0.09174311926605504,0.24000000000000002,0.0,0.24000000000000002,0.23529411764705882,0.0,0.23529411764705882,0.12844036697247704,0.018691588785046724,0.09174311926605504
0.1951219512195122,0.0,0.0975609756097561,0.18181818181818182,0.0,0.12121212121212122,0.06521739130434781,0.0,0.06521739130434781,0.04761904761904761,0.0,0.04761904761904761,0.12799999999999997,0.0,0.08,0.12799999999999997,0.0,0.08,0.1951219512195122,0.0,0.0975609756097561,0.18181818181818182,0.0,0.12121212121212122,0.12799999999999997,0.0,0.08
0.21428571428571427,0.0,0.07142857142857144,0.1,0.0,0.1,0.08695652173913045,0.0,0.08695652173913045,0.13333333333333333,0.0,0.13333333333333333,0.18604651162790697,0.0,0.13953488372093023,0.18604651162790697,0.0,0.09302325581395349,0.21428571428571427,0.0,0.08695652173913045,0.13333333333333333,0.0,0.13333333333333333,0.18604651162790697,0.0,0.13953488372093023
